Generic_Name,Strength,Brand_Name,Molecule,Manufacturer,Price_INR,Availability,Therapeutic_Class,Is_Available
Metformin,500.0,Glycomet 500 SR Tablet,Metformin (500mg),USV Private Limited,41.2,In Stock,Diabetes,1
Metformin,500.0,Glyciphage SR 500mg Tablet,Metformin (500mg),Franco-Indian Pharmaceuticals Pvt Ltd,26.62,In Stock,Diabetes,1
Metformin,500.0,GlUCOnorm SR 500mg Tablet,Metformin (500mg),Lupin Ltd,31.7,In Stock,Diabetes,1
Metformin,500.0,Cetapin XR 500mg Tablet,Metformin (500mg),Sanofi India Ltd,47.7,In Stock,Diabetes,1
Metformin,500.0,Okamet 500 Tablet,Metformin (500mg),Cipla Ltd,20.6,In Stock,Diabetes,1
Metformin,500.0,Metsmall 500 Tablet SR,Metformin (500mg),Dr Reddy's Laboratories Ltd,63.2,In Stock,Diabetes,1
Metformin,500.0,Melmet 500 SR Tablet,Metformin (500mg),Micro Labs Ltd,41.6,In Stock,Diabetes,1
Metformin,500.0,Carbophage XR 500 Tablet,Metformin (500mg),Merck Ltd,21.47,In Stock,Diabetes,1
Metformin,500.0,Gluformin XL New 500 Tablet PR,Metformin (500mg),Abbott,32.6,In Stock,Diabetes,1
Metformin,500.0,Debistal 500 SR Tablet,Metformin (500mg),Leeford Healthcare Ltd,23.0,In Stock,Diabetes,1
Metformin,500.0,StayHappi Metformin 500mg Tablet,Metformin (500mg),Sarvagunaushdhi Pvt Ltd,15.6,Out of Stock,Diabetes,0
Metformin,500.0,DavaIndia Metformin 500mg Tablet,Metformin (500mg),Davaindia Generic Pharmacy,6.4,Out of Stock,Diabetes,0
Metformin,500.0,Metformian 500mg Tablet,Metformin (500mg),Noel Pharma India Pvt Ltd,15.0,Out of Stock,Diabetes,0
Metformin,500.0,Genericart Metformin Hydrochloride 500mg Tablet,Metformin (500mg),Swast Aushadhi Seva Generic Medicine Store,17.8,Out of Stock,Diabetes,0
Metformin,500.0,Healium Metformin SR 500mg Tablet,Metformin (500mg),Healium Futuristics Pvt Ltd,58.9,Out of Stock,Diabetes,0
Metformin,500.0,Kriam Pharma Metformin Hydrochloride 500mg Tablet SR,Metformin (500mg),SRK Puremed LLP,33.9,Out of Stock,Diabetes,0
Metformin,800.0,Dichek 800mg Tablet,Metformin (800mg),Cutigen Incoporation,696.0,Out of Stock,Diabetes,0
Glimepiride,1.0,Glimda 1 Tablet,Glimepiride (1mg),Cipla Ltd,22.7,In Stock,Diabetes,1
Glimepiride,1.0,Dailyglim 1mg Tablet,Glimepiride (1mg),Leeford Healthcare Ltd,26.7,In Stock,Diabetes,1
Glimepiride,1.0,AB Glymprd 1mg Tablet,Glimepiride (1mg),Abbott,26.7,In Stock,Diabetes,1
Glimepiride,1.0,Glimital 1 Tablet,Glimepiride (1mg),Talent India,34.0,In Stock,Diabetes,1
Glimepiride,1.0,Amaryl 1mg Tablet,Glimepiride (1mg),Sanofi India Ltd,116.0,In Stock,Diabetes,1
Glimepiride,1.0,Zoryl 1 Tablet,Glimepiride (1mg),Intas Pharmaceuticals Ltd,59.2,In Stock,Diabetes,1
Glimepiride,1.0,GP 1 Tablet,Glimepiride (1mg),USV Private Limited,39.48,In Stock,Diabetes,1
Glimepiride,1.0,Glimy 1 Tablet,Glimepiride (1mg),Dr Reddy's Laboratories Ltd,58.1,In Stock,Diabetes,1
Glimepiride,1.0,Glimiped 1mg Tablet,Glimepiride (1mg),Knoll Healthcare Pvt Ltd,31.4,Out of Stock,Diabetes,0
Glimepiride,1.0,Glimed 1mg Tablet,Glimepiride (1mg),Knoll Pharmaceuticals Ltd,22.9,Out of Stock,Diabetes,0
Glimepiride,1.0,Glimipro 1mg Tablet,Glimepiride (1mg),Lupin Ltd,57.0,Out of Stock,Diabetes,0
Glimepiride,1.0,Glista 1mg Tablet,Glimepiride (1mg),Cadila Pharmaceuticals Ltd,91.9,Out of Stock,Diabetes,0
Glimepiride,1.0,Debistal 1mg Tablet,Glimepiride (1mg),Leeford Healthcare Ltd,33.4,Out of Stock,Diabetes,0
Glimepiride,1.0,Glimimore 1mg Tablet,Glimepiride (1mg),Morepen Laboratories Ltd,36.2,Out of Stock,Diabetes,0
Glimepiride,1.0,Azulix 1 Tablet,Glimepiride (1mg),Torrent Pharmaceuticals Ltd,39.47,In Stock,Diabetes,1
Glimepiride,1.0,Glimestar 1 Tablet,Glimepiride (1mg),Mankind Pharma Ltd,31.3,In Stock,Diabetes,1
Glimepiride,1.0,Isryl 1 Tablet,Glimepiride (1mg),Systopic Laboratories Pvt Ltd,16.69,In Stock,Diabetes,1
Glimepiride,1.0,Glador 1 Tablet,Glimepiride (1mg),Lupin Ltd,58.1,In Stock,Diabetes,1
Glimepiride,1.0,glimer 1 Tablet,Glimepiride (1mg),Abbott,59.2,In Stock,Diabetes,1
Glimepiride,1.0,K-Glim 1mg Tablet,Glimepiride (1mg),Blue Cross Laboratories Ltd,20.63,In Stock,Diabetes,1
Glimepiride,1.0,DIApride 1 Tablet,Glimepiride (1mg),Micro Labs Ltd,114.0,In Stock,Diabetes,1
Glimepiride,1.0,Glimiprex 1 Tablet,Glimepiride (1mg),Aristo Pharmaceuticals Pvt Ltd,38.85,In Stock,Diabetes,1
Glimepiride,1.0,GlimiSAVE 1 Tablet,Glimepiride (1mg),Eris Lifesciences Ltd,58.1,In Stock,Diabetes,1
Glimepiride,1.0,Glyree 1 Tablet,Glimepiride (1mg),Ipca Laboratories Ltd,39.48,In Stock,Diabetes,1
Glimepiride,2.0,Glimda 2 Tablet,Glimepiride (2mg),Cipla Ltd,42.0,In Stock,Diabetes,1
Glimepiride,2.0,Dailyglim 2mg Tablet,Glimepiride (2mg),Leeford Healthcare Ltd,36.1,In Stock,Diabetes,1
Glimepiride,2.0,Glimipen 2mg Tablet,Glimepiride (2mg),Morepen Laboratories Ltd,55.4,In Stock,Diabetes,1
Glimepiride,2.0,AB Glymprd 2mg Tablet,Glimepiride (2mg),Abbott,52.3,In Stock,Diabetes,1
Glimepiride,2.0,Debistal 2mg Tablet,Glimepiride (2mg),Leeford Healthcare Ltd,45.0,In Stock,Diabetes,1
Glimepiride,2.0,Amaryl 2mg Tablet,Glimepiride (2mg),Sanofi India Ltd,182.0,In Stock,Diabetes,1
Glimepiride,2.0,GP 2 Tablet,Glimepiride (2mg),USV Private Limited,60.8,In Stock,Diabetes,1
Glimepiride,2.0,Zoryl 2 Tablet,Glimepiride (2mg),Intas Pharmaceuticals Ltd,91.1,In Stock,Diabetes,1
Glimepiride,2.0,Glimestar 2 Tablet,Glimepiride (2mg),Mankind Pharma Ltd,39.0,In Stock,Diabetes,1
Glimepiride,2.0,Glimy 2 Tablet,Glimepiride (2mg),Dr Reddy's Laboratories Ltd,90.9,In Stock,Diabetes,1
Glimepiride,2.0,Azulix 2 Tablet,Glimepiride (2mg),Torrent Pharmaceuticals Ltd,61.9,In Stock,Diabetes,1
Glimepiride,2.0,Glimimore 2mg Tablet,Glimepiride (2mg),Morepen Laboratories Ltd,50.6,Out of Stock,Diabetes,0
Glimepiride,2.0,Glimed 2 Tablet,Glimepiride (2mg),Knoll Pharmaceuticals Ltd,37.0,Out of Stock,Diabetes,0
Glimepiride,2.0,Glimipro 2mg Tablet,Glimepiride (2mg),Lupin Ltd,89.6,Out of Stock,Diabetes,0
Glimepiride,2.0,Kriam Pharma Glimepiride 2mg Tablet,Glimepiride (2mg),SRK Puremed LLP,31.3,In Stock,Diabetes,1
Glimepiride,2.0,Glador 2 Tablet,Glimepiride (2mg),Lupin Ltd,91.1,In Stock,Diabetes,1
Glimepiride,2.0,Isryl 2 Tablet,Glimepiride (2mg),Systopic Laboratories Pvt Ltd,29.06,In Stock,Diabetes,1
Glimepiride,2.0,DIApride 2 Tablet,Glimepiride (2mg),Micro Labs Ltd,179.0,In Stock,Diabetes,1
Sitagliptin,100.0,Istavel 100mg Tablet,Sitagliptin (100mg),Sun Pharmaceutical Industries Ltd,157.0,In Stock,Diabetes,1
Sitagliptin,100.0,Januvia 100mg Tablet,Sitagliptin (100mg),MSD Pharmaceuticals Pvt Ltd,271.0,In Stock,Diabetes,1
Sitagliptin,100.0,SitaCIP 100mg Tablet,Sitagliptin (100mg),Cipla Ltd,144.0,In Stock,Diabetes,1
Sitagliptin,100.0,SitaRA 100 Tablet,Sitagliptin (100mg),Intas Pharmaceuticals Ltd,167.81,In Stock,Diabetes,1
Sitagliptin,100.0,Sitazee 100 Tablet,Sitagliptin (100mg),Zeelab Pharmacy Pvt Ltd,49.5,In Stock,Diabetes,1
Sitagliptin,100.0,Sitared 100mg Tablet,Sitagliptin (100mg),Sun Pharmaceutical Industries Ltd,143.0,In Stock,Diabetes,1
Sitagliptin,100.0,Sitasys 100mg Tablet,Sitagliptin (100mg),Systopic Laboratories Pvt Ltd,74.06,In Stock,Diabetes,1
Sitagliptin,100.0,Alsita 100mg Tablet,Sitagliptin (100mg),Alkem Laboratories Ltd,121.0,In Stock,Diabetes,1
